,open,high,low,close,d%change,c%change
2021-06-04,16063.38,16175.09,15790.5,16030.16,0.32,60.3
2021-06-07,16111.69,16230.41,15879.12,15960.04,-0.44,59.6
2021-06-08,15907.34,16161.41,15689.67,16063.26,0.65,60.63
2021-06-09,16077.54,16176.89,15802.33,15886.37,-1.1,58.86
2021-06-10,16075.16,16147.03,15600.55,15703.28,-1.15,57.03
2021-06-11,15769.99,15923.25,15638.28,15748.41,0.29,57.48
2021-06-14,15799.2,15929.41,15465.68,15564.27,-1.17,55.64
2021-06-15,15613.39,15838.57,15492.43,15745.28,1.16,57.45
2021-06-16,15667.19,15782.03,15395.15,15567.25,-1.13,55.67
2021-06-17,15539.77,15641.6,14809.01,15008.33,-3.59,50.08
2021-06-18,14753.26,14894.42,14643.42,14696.32,-2.08,46.96
2021-06-21,14776.26,15118.22,14762.8,15094.54,2.71,50.95
2021-06-22,15051.21,15115.92,14859.03,14999.94,-0.63,50.0
2021-06-23,15066.86,15238.19,15008.23,15037.71,0.25,50.38
2021-06-24,15053.31,15219.96,14963.64,15184.53,0.98,51.85
2021-06-25,15200.03,15304.14,15125.88,15250.15,0.43,52.5
2021-06-28,15216.06,15248.21,14912.17,14989.42,-1.71,49.89
2021-06-29,15052.43,15147.61,14887.26,14930.33,-0.39,49.3
2021-06-30,14974.07,15146.53,14937.11,15092.76,1.09,50.93
2021-07-01,15289.3,15418.98,15127.74,15300.49,1.38,53.0
2021-07-02,15256.19,15290.04,15126.4,15161.13,-0.91,51.61
2021-07-06,15165.65,15183.33,14793.87,14837.86,-2.13,48.38
2021-07-07,14842.46,14952.08,14620.81,14750.56,-0.59,47.51
2021-07-08,14568.99,14802.01,14508.95,14706.75,-0.3,47.07
2021-07-09,14822.5,14939.17,14733.51,14899.91,1.31,49.0
2021-07-12,14820.06,14983.06,14747.41,14931.83,0.21,49.32
2021-07-13,14906.19,15009.39,14795.1,14878.21,-0.36,48.78
2021-07-14,14925.5,15064.79,14519.87,14586.11,-1.96,45.86
2021-07-15,14484.33,14681.31,14385.8,14485.98,-0.69,44.86
2021-07-16,14562.66,14590.75,14336.37,14364.94,-0.84,43.65
2021-07-19,14167.0,14215.8,14096.84,14178.28,-1.3,41.78
2021-07-20,14185.43,14263.11,14181.99,14251.43,0.52,42.51
2021-07-21,14304.17,14356.11,14252.61,14265.23,0.1,42.65
2021-07-22,14279.79,14301.86,14240.19,14273.25,0.06,42.73
2021-07-23,14276.25,14298.34,14172.85,14228.16,-0.32,42.28
2021-07-26,14225.55,14290.76,14185.76,14268.32,0.28,42.68
2021-07-27,14242.67,14297.03,14135.8,14212.44,-0.39,42.12
2021-07-28,14209.91,14301.48,14156.1,14255.56,0.3,42.56
2021-07-29,14291.36,14463.33,14272.49,14373.57,0.83,43.74
2021-07-30,14366.28,14511.57,14331.91,14461.96,0.61,44.62
2021-08-02,14501.06,14619.01,14335.77,14476.32,0.1,44.76
2021-08-03,14477.72,14647.93,14297.93,14538.13,0.43,45.38
2021-08-04,14539.31,14741.18,14372.07,14491.54,-0.32,44.92
2021-08-05,14493.62,14723.33,14190.19,14479.7,-0.08,44.8
2021-08-06,14498.01,14706.4,14276.35,14570.95,0.63,45.71
2021-08-09,14538.5,14684.32,14359.19,14540.75,-0.21,45.41
2021-08-10,14534.03,14712.26,14317.93,14472.89,-0.47,44.73
2021-08-11,14521.5,14606.76,14176.89,14427.24,-0.32,44.27
2021-08-12,14380.39,14630.76,14253.68,14540.9,0.79,45.41
2021-08-13,14507.74,14624.72,14384.75,14526.3,-0.1,45.26
2021-08-16,14487.74,14649.17,14282.8,14558.33,0.22,45.58
2021-08-17,14404.47,14543.06,14040.4,14249.59,-2.12,42.5
2021-08-18,14221.72,14388.27,14083.92,14127.39,-0.86,41.27
2021-08-19,14006.25,14233.13,13945.9,14137.68,0.07,41.38
2021-08-20,14168.56,14328.63,14015.3,14212.46,0.53,42.12
2021-08-23,14318.35,14479.43,14219.38,14362.79,1.06,43.63
2021-08-24,14358.91,14525.31,14251.66,14418.81,0.39,44.19
2021-08-25,14410.35,14701.64,14365.37,14588.8,1.18,45.89
2021-08-26,14569.74,14678.85,14418.4,14501.09,-0.6,45.01
2021-08-27,14560.68,14751.03,14490.37,14627.82,0.87,46.28
2021-08-30,14689.97,14875.71,14592.01,14728.95,0.69,47.29
2021-08-31,14749.41,14821.53,14530.4,14701.76,-0.18,47.02
2021-09-01,14716.53,14896.3,14616.39,14808.55,0.73,48.09
2021-09-02,14865.66,15056.12,14813.29,14933.22,0.84,49.33
2021-09-03,14887.29,15058.36,14742.32,14938.78,0.04,49.39
2021-09-07,14906.93,14977.09,14669.12,14868.28,-0.47,48.68
2021-09-08,14883.51,15046.18,14732.81,14949.28,0.54,49.49
2021-09-09,14892.48,15147.36,14769.94,14971.48,0.15,49.71
2021-09-10,15096.43,15215.63,14893.61,14952.04,-0.13,49.52
